Gene,Degree
BRCA1,130
SRC,128
PLK1,126
HSP90AA1,123
CCNA2,114
RPS27A,113
ACTB,111
CDC20,110
RAD51,102
STAT1,101
BUB1B,96
EXO1,96
BUB1,95
GAPDH,92
TOP2A,91
CHEK1,91
IL1B,90
CCNB2,89
MAD2L1,88
KIF11,87
AURKB,84
IL10,83
HDAC1,82
JUN,81
CDK2,80
BCL2,78
CD44,78
CDC6,75
BIRC5,75
AURKA,75
CDCA8,73
RRM2,73
MCM4,73
RPS3,72
FEN1,71
RPS18,71
MCM3,70
PCNA,70
RPS9,70
MCM5,70
RPS11,69
RPL3,69
UBE2C,69
CENPA,68
CCND1,68
MCM7,68
IFI35,68
PTEN,67
KIF20A,67
RPS5,66
BRCA2,66
RPL9,65
MELK,65
CENPF,65
MCM6,65
TYMS,65
RPS14,65
MCM10,64
NUSAP1,64
KIF2C,64
FLT3LG,63
RPS23,63
TTK,63
ASPM,62
RPS28,61
TPX2,61
PARP1,61
CUL7,60
VCP,60
KIF23,60
RPL30,60
RFC4,60
MDM2,60
ZWINT,60
RPA1,60
SNRPE,60
PBK,59
CD74,59
RPS15,59
SNRPD2,59
CDK4,59
RPL15,59
NCBP1,59
MRPS12,58
FOXM1,58
NEK2,58
E2F1,58
MMP9,58
PIK3CA,57
RPL10A,57
CEP55,56
MRPL3,56
FANCE,56
MAPK8,56
SNRPF,56
FOS,55
GSK3B,55
ALB,55
KIT,55
HSPA5,54
MRPL13,54
RPL12,54
GNB1,54
EZH2,54
SEC61A1,54
KIF15,54
RPL14,53
CDT1,53
RPL37A,53
NCBP2,52
CDKN1A,52
SNRPG,52
RBBP4,52
MRPL22,52
MRPS15,52
SNRPD1,51
RPS25,51
HMMR,51
POLD1,51
KDR,51
RACGAP1,51
PRC1,51
DHX9,51
SNRPB,51
PTTG1,50
BCL2L1,50
ISG15,50
PPP2CA,50
RPS12,50
GFM1,49
RANBP2,49
TUFM,49
RPA2,49
DHX15,49
MRPL17,49
CHEK2,49
MRPL2,48
SNW1,48
XRCC6,48
MRPL16,47
IRS1,47
MKI67,47
CXCL10,47
CDKN2A,46
KIFC1,46
BYSL,46
U2AF2,46
FBL,46
CCR7,46
RFC3,46
FGF2,45
PDGFRB,45
IGF1,45
ATR,45
SNRPA,45
SNRPA1,45
CXCL12,44
KIF14,44
POLE,44
MTIF2,44
CCT4,44
MRPL11,44
PDGFRA,44
ABL1,43
SF3B4,43
PRPF19,43
WDHD1,43
GTPBP4,43
CDKN3,43
CDC25C,42
RANGAP1,42
UBE2I,42
TOPBP1,42
SPAG5,42
TK1,42
PES1,42
MSH2,41
MET,41
SMC4,41
RAD51AP1,41
POLE2,41
PLK4,41
NRAS,41
STAT5B,41
MRPL9,40
YWHAZ,40
CCT2,40
RBBP7,40
KIF18A,40
TRIP13,40
ICAM1,40
NCOR1,40
ELAVL1,40
AR,40
IFIH1,39
BDNF,39
PSMB8,39
SDHA,39
IKBKG,39
TYK2,39
MYD88,39
NOC2L,39
PSMD14,39
DLG4,39
TSFM,38
PIK3CD,38
HMGN2,38
LSM4,38
SART1,38
JAK3,38
IRF7,38
CCT8,38
CCT5,38
ERCC1,38
ECT2,38
DEPDC1,38
LSM2,38
LSM7,38
B2M,37
FGFR1,37
EIF2AK2,37
VDAC1,37
KPNB1,37
HEATR1,37
RNF2,36
YBX1,36
PSMD4,36
BUB3,36
CLSPN,36
CD40,36
BUD31,36
CD34,35
CCNE1,35
RFC2,35
LSM5,35
MX1,35
ITGA2,35
PSMC1,35
KPNA2,35
EXOSC10,35
RPA3,35
PSMC4,35
SNCA,35
PSMC2,35
RSL1D1,35
USP14,34
GNL2,34
DAP3,34
RSRC1,34
ITGAX,34
PRPF3,34
PSMA7,34
SEC61A2,34
XPO1,34
NUP153,34
RBM22,34
SUCLG1,34
ACO2,34
PRKDC,34
LYN,34
ERBB4,34
OIP5,34
PSMA2,33
PRIM1,33
RAD51C,33
UTP6,33
NOC4L,33
LSM8,33
RRM1,33
TIMELESS,33
ARRB1,33
ASF1B,33
RECQL4,33
CALR,33
UCHL5,33
PSMD2,33
DNMT1,33
